date,Football,rugby,isPartial
2023-07-28,2,2,False
2023-07-29,4,3,False
2023-07-30,3,2,False
2023-07-31,2,2,False
2023-08-01,2,2,False
2023-08-02,3,2,False
2023-08-03,3,2,False
2023-08-04,2,3,False
2023-08-05,3,14,False
2023-08-06,3,3,False
2023-08-07,3,2,False
2023-08-08,4,2,False
2023-08-09,2,2,False
2023-08-10,2,3,False
2023-08-11,3,3,False
2023-08-12,29,13,False
2023-08-13,3,5,False
2023-08-14,2,3,False
2023-08-15,3,3,False
2023-08-16,2,2,False
2023-08-17,2,3,False
2023-08-18,2,5,False
2023-08-19,3,13,False
2023-08-20,4,7,False
2023-08-21,2,6,False
2023-08-22,2,4,False
2023-08-23,1,3,False
2023-08-24,2,4,False
2023-08-25,2,6,False
2023-08-26,3,11,False
2023-08-27,3,23,False
2023-08-28,2,7,False
2023-08-29,2,5,False
2023-08-30,2,5,False
2023-08-31,2,5,False
2023-09-01,2,7,False
2023-09-02,2,8,False
2023-09-03,3,9,False
2023-09-04,2,8,False
2023-09-05,2,8,False
2023-09-06,2,10,False
2023-09-07,3,15,False
2023-09-08,2,90,False
2023-09-09,2,86,False
2023-09-10,3,63,False
2023-09-11,2,26,False
2023-09-12,3,19,False
2023-09-13,2,14,False
2023-09-14,2,49,False
2023-09-15,2,39,False
2023-09-16,3,42,False
2023-09-17,3,47,False
2023-09-18,2,17,False
2023-09-19,2,10,False
2023-09-20,2,20,False
2023-09-21,2,48,False
2023-09-22,2,35,False
2023-09-23,3,49,False
2023-09-24,3,40,False
2023-09-25,2,15,False
2023-09-26,2,11,False
2023-09-27,2,17,False
2023-09-28,1,20,False
2023-09-29,2,30,False
2023-09-30,2,38,False
2023-10-01,3,36,False
2023-10-02,2,13,False
2023-10-03,2,9,False
2023-10-04,2,9,False
2023-10-05,2,18,False
2023-10-06,2,54,False
2023-10-07,2,64,False
2023-10-08,3,45,False
2023-10-09,2,17,False
2023-10-10,2,9,False
2023-10-11,1,8,False
2023-10-12,2,10,False
2023-10-13,2,16,False
2023-10-14,3,58,False
2023-10-15,2,100,False
2023-10-16,2,24,False
2023-10-17,2,7,False
2023-10-18,2,5,False
2023-10-19,1,6,False
2023-10-20,2,20,False
2023-10-21,2,33,False
2023-10-22,3,17,False
2023-10-23,2,5,False
2023-10-24,2,4,False
